price,bedRoom,bathroom,balcony,floorNum,agePossession,Location,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category
129.0,3.0,3.0,3.0,5.0,New Property,sector 88,0,1,0,0,1303.2,Unfurnished,Not Luxurious
285.0,3.0,3.0,3.0,43.0,Under Construction,sector 65,0,0,0,0,1462.4,Unfurnished,Luxurious
110.0,3.0,3.0,3.0,1.0,Relatively New,sector 79,0,0,0,0,2340.0,Fully Furnished,Semi Luxurious
165.0,2.0,2.0,2.0,1.0,Under Construction,sector 61,0,1,0,0,1440.0,Unfurnished,Not Luxurious
24.0,1.0,1.0,2.0,1.0,New Property,sohna,0,0,0,0,388.8,Unfurnished,Semi Luxurious
210.0,3.0,4.0,3.0,11.0,New Property,sector 77,1,0,0,0,1600.0,Fully Furnished,Semi Luxurious
190.0,3.0,3.0,3.0,14.0,New Property,sohna,1,0,0,0,2314.8,Unfurnished,Semi Luxurious
31.5,2.0,2.0,1.0,8.0,Relatively New,sector 95,0,0,0,0,560.0,Semi Furnished,Not Luxurious
170.0,1.0,1.0,2.0,9.0,Relatively New,sector 109,0,0,0,0,965.0,Unfurnished,Not Luxurious
32.0,2.0,2.0,2.0,2.0,New Property,sector 99,0,0,0,0,419.2000000000001,Unfurnished,Semi Luxurious
45.0,2.0,2.0,1.0,4.0,Under Construction,sector 86,0,0,0,0,697.692,Unfurnished,Semi Luxurious
120.0,1.0,2.0,2.0,32.0,Under Construction,sector 78,0,0,0,0,958.24,Unfurnished,Not Luxurious
210.0,2.0,2.0,2.0,43.0,New Property,sector 65,0,0,0,0,1048.0,Unfurnished,Luxurious
42.0,2.0,2.0,1.0,3.0,Relatively New,sector 3,0,0,0,0,900.0,Fully Furnished,Semi Luxurious
155.0,3.0,2.0,3.0,8.0,New Property,sohna,0,0,0,0,1868.4,Unfurnished,Semi Luxurious
130.0,3.0,3.0,2.0,3.0,Under Construction,multiple sectors,0,0,0,0,1152.0,Unfurnished,Not Luxurious
275.0,4.0,4.0,3.0,20.0,Under Construction,sector 113,1,1,1,0,3116.4,Semi Furnished,Semi Luxurious
125.0,3.0,3.0,3.0,2.0,New Property,sector 103,0,0,1,0,1552.0,Unfurnished,Luxurious
42.0,3.0,2.0,2.0,0.0,Relatively New,sector 63,0,0,0,0,680.4,Unfurnished,Not Luxurious
40.0,2.0,2.0,1.0,4.0,New Property,sohna,0,0,0,0,498.4,Unfurnished,Semi Luxurious
34.0,2.0,2.0,1.0,0.0,New Property,sohna,0,0,0,0,754.8,Unfurnished,Not Luxurious
125.0,3.0,3.0,3.0,3.0,New Property,sector 89,0,1,0,0,1138.4,Unfurnished,Not Luxurious
150.0,3.0,3.0,3.0,4.0,Relatively New,sector 77,0,0,0,0,1160.0,Fully Furnished,Semi Luxurious
130.0,3.0,3.0,2.0,3.0,Under Construction,multiple sectors,0,0,0,0,1120.0,Unfurnished,Not Luxurious
160.0,3.0,3.0,3.0,6.0,Under Construction,sector 99,0,0,0,0,1600.0,Unfurnished,Not Luxurious
150.0,2.0,2.0,2.0,13.0,New Property,sector 113,0,0,0,0,1531.2,Unfurnished,Not Luxurious
150.0,2.0,2.0,2.0,13.0,New Property,sector 113,0,0,0,0,1020.8,Unfurnished,Semi Luxurious
90.0,2.0,2.0,0.0,16.0,Relatively New,sector 104,0,0,0,0,1259.0,Unfurnished,Not Luxurious
150.0,4.0,4.0,3.0,3.0,Old Property,sector 52,0,0,0,0,1312.0,Fully Furnished,Semi Luxurious
80.0,1.0,1.0,0.0,0.0,Relatively New,sector 67,0,0,0,0,610.0,Unfurnished,Not Luxurious
125.0,3.0,2.0,1.0,11.0,New Property,sector 86,0,0,0,0,1352.0,Unfurnished,Semi Luxurious
26.0,2.0,2.0,1.0,2.0,Relatively New,sohna,0,0,0,0,578.088,Unfurnished,Semi Luxurious
42.0,2.0,2.0,1.0,12.0,New Property,sohna,0,0,0,0,637.2,Fully Furnished,Semi Luxurious
90.0,3.0,3.0,2.0,1.0,Moderately Old,sector 78,1,0,1,0,1900.0,Unfurnished,Not Luxurious
42.0,2.0,2.0,1.0,4.0,Relatively New,sector 92,0,1,1,0,709.2,Fully Furnished,Semi Luxurious
50.0,2.0,2.0,1.0,11.0,Relatively New,sector 107,0,0,0,0,436.8,Unfurnished,Not Luxurious
90.0,2.0,2.0,3.0,5.0,Relatively New,sector 79,0,1,0,0,1450.0,Unfurnished,Semi Luxurious
130.0,3.0,3.0,3.0,1.0,New Property,sector 89,1,0,0,0,2292.0,Unfurnished,Semi Luxurious
170.0,3.0,3.0,3.0,12.0,Under Construction,sohna,0,0,0,0,1431.2,Unfurnished,Not Luxurious
125.0,4.0,3.0,0.0,16.0,Under Construction,sector 92,0,0,0,0,2040.0,Unfurnished,Semi Luxurious
291.0,4.0,4.0,3.0,6.0,Under Construction,sector 82,1,1,0,1,3480.0,Fully Furnished,Luxurious
115.0,3.0,4.0,2.0,2.0,Old Property,sector 12,1,1,0,0,2000.0,Fully Furnished,Semi Luxurious
120.0,3.0,3.0,3.0,3.0,Under Construction,sector 89,0,0,1,1,1149.6,Unfurnished,Luxurious
150.0,2.0,2.0,3.0,11.0,New Property,sohna,0,0,0,0,1470.0,Unfurnished,Semi Luxurious
130.0,3.0,3.0,3.0,10.0,Relatively New,sohna,0,0,0,0,1400.8000000000002,Unfurnished,Semi Luxurious
175.0,3.0,3.0,3.0,2.0,Under Construction,sector 104,0,0,0,0,1351.2,Unfurnished,Not Luxurious
55.0,2.0,2.0,1.0,4.0,Relatively New,sector 5,0,1,0,0,840.0,Fully Furnished,Semi Luxurious
250.0,3.0,3.0,3.0,19.0,Under Construction,sector 65,0,0,0,0,1462.4,Unfurnished,Not Luxurious
43.0,2.0,2.0,1.0,1.0,Moderately Old,sector 12,0,0,0,0,648.0,Unfurnished,Semi Luxurious
80.0,3.0,2.0,3.0,8.0,Relatively New,sector 2,0,0,0,0,1440.0,Unfurnished,Not Luxurious
45.0,3.0,3.0,2.0,18.0,Under Construction,near sector 92,0,0,0,0,800.0,Unfurnished,Not Luxurious
70.0,2.0,2.0,1.0,10.0,Moderately Old,sector 108,0,0,0,0,1468.0,Unfurnished,Not Luxurious
195.0,4.0,3.0,3.0,7.0,Under Construction,sector 37,0,0,0,0,1650.0,Unfurnished,Not Luxurious
45.0,2.0,2.0,1.0,2.0,New Property,sector 90,0,0,0,0,751.2,Unfurnished,Semi Luxurious
170.0,3.0,2.0,3.0,10.0,Relatively New,sector 79,0,0,0,0,1570.0,Unfurnished,Not Luxurious
110.0,3.0,2.0,3.0,5.0,Old Property,sector 9,0,0,0,0,2160.0,Unfurnished,Not Luxurious
50.0,2.0,2.0,1.0,10.0,Relatively New,sector 86,0,0,0,0,624.0,Unfurnished,Semi Luxurious
280.0,3.0,3.0,3.0,20.0,Under Construction,sector 65,0,0,0,0,1462.4,Unfurnished,Luxurious
220.00000000000003,3.0,3.0,2.0,3.0,Under Construction,sector 61,0,0,0,0,1956.0,Unfurnished,Not Luxurious
90.0,2.0,2.0,2.0,13.0,Relatively New,sohna,0,0,0,0,1020.0,Fully Furnished,Luxurious
40.0,2.0,2.0,2.0,3.0,New Property,sector 95,0,0,0,0,616.8,Fully Furnished,Semi Luxurious
135.0,3.0,3.0,3.0,7.0,New Property,sector 77,0,0,0,1,1388.0,Fully Furnished,Semi Luxurious
185.0,4.0,4.0,0.0,4.0,Relatively New,sector 67,0,0,0,0,2760.0,Unfurnished,Not Luxurious
25.0,1.0,1.0,1.0,4.0,New Property,sector 95,0,0,0,0,304.0,Unfurnished,Not Luxurious
88.0,2.0,2.0,3.0,2.0,New Property,sector 89,0,1,0,0,1326.0,Unfurnished,Semi Luxurious
115.0,2.0,2.0,2.0,2.0,New Property,sector 99,0,0,0,0,1092.0,Fully Furnished,Luxurious
160.0,3.0,3.0,3.0,4.0,Moderately Old,near sector 29,0,0,0,0,1050.4,Unfurnished,Semi Luxurious
85.0,2.0,2.0,2.0,3.0,New Property,sector 99,0,0,0,0,1001.6,Unfurnished,Not Luxurious
75.0,2.0,2.0,2.0,1.0,Relatively New,sector 82,0,0,0,0,1000.0,Unfurnished,Not Luxurious
