society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,Exhaust Fan,Fridge,Stove,Sofa,Wardrobe,Chimney,Curtains,Modular Kitchen,Dining Table,Bed,Geyser,Fan,Water Purifier,AC,Light,TV,Microwave,Washing Machine,furnishing_type
Puri Emerald Bay,223.0,9911,3,4,3,10,East,Relatively New,3, Sector 104 Gurgaon,29,1,0,0,0,2250,,2450,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,0,5,0,5,16,0,0,0,1
Experion The Heartsong,208.0,9904,4,4,3,3,East,Relatively New,4, Sector 108 Gurgaon,14,1,0,0,0,2100,2631,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0
Experion The Heartsong,130.0,8344,3,3,3,7,South-West,Relatively New,3, Sector 108 Gurgaon,14,0,1,0,0,1558,,1758,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,14,0,0,0,0
Suncity Avenue ,48,9022,2,2,1,5,North-East,Relatively New,2, Sector 102 Gurgaon,12,0,0,0,1,532,,632,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0
Sobha City,233.0,14463,3,3,3,17,North-East,Relatively New,3, Sector 108 Gurgaon,24,0,0,0,1,1611,1711,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,5,0,4,16,0,0,0,1
Parsvnath Green Ville,175.0,7201,3,3,3,7,South,Old Property,3, Sector 48 Gurgaon,19,1,0,0,0,1800,2200,2430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,4,1,0,1,0,0,4,8,0,4,10,0,0,0,1
Parsvnath Green Ville,160.0,8376,3,3,3,13,North-West,Old Property,3, Sector 48 Gurgaon,19,0,0,0,0,1600,1700,1910,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,3,1,0,1,0,0,3,6,1,0,0,0,0,0,1
Parsvnath Green Ville,150.0,8787,3,3,3,1,North,Old Property,3, Sector 48 Gurgaon,5,0,0,0,0,1400,1600,1707,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,3,1,0,1,0,0,0,7,1,0,6,0,0,0,1
Orchid Petals,190.0,10526,3,3,3,2,South,Old Property,3, Sector 49 Gurgaon,14,0,0,0,0,1400,1600,1805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,3,1,0,1,0,0,3,6,0,0,8,0,0,0,1
Ireo Skyon,370.0,13214,4,5,3,10,South,Relatively New,4, Sector 60 Gurgaon,39,1,0,0,0,,,2800,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,4,1,1,1,0,0,4,6,0,6,10,0,0,0,1
