price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
178.0,3.0,3.0,3.0,27.0,Relatively New,sector 68,0,0,0,0,1845.0,Fully Furnished,Luxurious,28.3853° N, 77.0484° E
110.0,2.0,2.0,3.0,1.0,Relatively New,sector 68,0,0,0,0,1150.0,Fully Furnished,Luxurious,28.3853° N, 77.0484° E
250.0,3.0,3.0,3.0,15.0,Relatively New,sector 70,0,0,0,0,1720.0,Fully Furnished,Luxurious,28.3968° N, 77.0233° E
184.0,3.0,4.0,3.0,8.0,Relatively New,sector 85,0,0,1,0,1926.4,Unfurnished,Luxurious,28.4042° N, 76.9513° E
118.0,2.0,3.0,3.0,12.0,Relatively New,sector 85,0,0,1,0,1420.0,Fully Furnished,Luxurious,28.4042° N, 76.9513° E
163.0,3.0,3.0,3.0,5.0,New Property,sector 70,1,0,0,0,1560.0,Fully Furnished,Semi Luxurious,28.3968° N, 77.0233° E
250.0,4.0,5.0,3.0,5.0,Relatively New,sector 102,1,0,0,0,2558.4,Unfurnished,Semi Luxurious,28.4750° N, 76.9715° E
145.0,3.0,4.0,3.0,7.0,Relatively New,sector 107,1,0,0,0,1900.0,Unfurnished,Semi Luxurious,28.5052° N, 76.9729° E
120.0,3.0,3.0,3.0,10.0,Relatively New,sector 108,0,1,0,0,1275.53,Unfurnished,Luxurious,28.5134° N, 76.9830° E
160.0,3.0,4.0,3.0,3.0,Relatively New,sector 108,1,0,0,0,1500.29,Fully Furnished,Semi Luxurious,28.5134° N, 76.9830° E
62.0,2.0,2.0,2.0,2.0,Relatively New,sector 67,0,0,0,0,627.6,Unfurnished,Semi Luxurious,28.3859° N, 77.0608° E
55.0,2.0,2.0,2.0,3.0,Relatively New,sector 67,0,0,0,0,627.6,Unfurnished,Semi Luxurious,28.3859° N, 77.0608° E
285.0,3.0,4.0,3.0,5.0,Relatively New,sector 60,1,0,0,0,1640.0,Fully Furnished,Luxurious,28.4003° N, 77.0975° E
131.0,2.0,2.0,2.0,5.0,Relatively New,sector 85,1,0,0,0,1968.0,Unfurnished,Semi Luxurious,28.4042° N, 76.9513° E
220.00000000000003,4.0,5.0,3.0,4.0,Relatively New,sector 85,1,0,1,0,2390.0,Unfurnished,Luxurious,28.4042° N, 76.9513° E
300.0,3.0,3.0,2.0,2.0,Relatively New,sector 112,0,0,0,0,2600.0,Fully Furnished,Semi Luxurious,28.5189° N, 77.0183° E
130.0,3.0,3.0,3.0,15.0,Relatively New,sector 86,1,0,1,0,1715.0,Fully Furnished,Semi Luxurious,28.3986° N, 76.9384° E
195.0,3.0,4.0,3.0,9.0,Relatively New,sector 102,1,1,0,0,2063.2000000000003,Fully Furnished,Luxurious,28.4750° N, 76.9715° E
